Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Score,Seconds
882,3:58.14,John GAY,07 NOV 1996,CAN,3,"Swangard Stadium, Burnaby (CAN)",10 JUL 2021,1097,238.14
883,3:58.15,Álvaro RODRÍGUEZ,25 MAY 1987,ESP,10,"Bislett Stadion, Oslo (NOR)",09 JUN 2011,1097,238.15
883,3:58.15,Darragh MCELHINNEY,09 NOV 2000,IRL,3,"Morton Stadium, Dublin (IRL)",02 JUL 2022,1097,238.15
885,3:58.16,Andrew MCCLARY,31 OCT 1985,USA,1,St. Louis (USA),22 MAY 2010,1097,238.16
885,3:58.16,John PETRUNO,-,USA,2h1,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA)",25 FEB 2022,1097,238.16
887,3:58.17,Chris ESTWANIK,04 APR 1980,USA,3,Burnaby (CAN),01 JUL 2004,1097,238.17000000000002
887,3:58.17,Andrew COLLEY,01 APR 1991,USA,10,Dublin (IRL),11 JUL 2014,1097,238.17000000000002
887,3:58.17,Charlie O'DONOVAN,06 AUG 1999,IRL,10,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",11 FEB 2022,1097,238.17000000000002
890,3:58.18,Jeff SCHEMMEL,19 FEB 1954,USA,4,"Wichita, KS (USA)",29 MAY 1976,1097,238.18
890,3:58.18,Ovidiu OLTEANU,06 AUG 1970,ROU,1,Bucureşti (ROU),29 MAY 1994,1097,238.18
890,3:58.18,James MCMURRAY,18 JAN 1995,GBR,10,"International Stadium, Gateshead (GBR)",13 JUL 2021,1097,238.18
893,3:58.19,David CAMPBELL,28 JAN 1982,IRL,2,Wanganui (NZL),16 FEB 2008,1097,238.19
894,3:58.20,Michel BERNARD,31 DEC 1931,FRA,1,Cambrai (FRA),08 JUL 1963,1097,238.2
894,3:58.20,Juris LUZINS,22 JUN 1947,USA,2,"Modesto, CA (USA)",27 MAY 1972,1097,238.2
894,3:58.20,Paul GRINSTED,21 AUG 1957,AUS,2,Melbourne (AUS),17 DEC 1981,1097,238.2
894,3:58.20,Darryl FRERKER,23 OCT 1963,USA,1,Wanganui (NZL),27 JAN 1993,1097,238.2
898,3:58.20,Francois VAN RENSBURG,02 AUG 1970,RSA,1,Port Elizabeth (RSA),25 MAR 1994,1097,238.2
895,3:58.20,Wander DO PRADO MOURA,22 FEB 1969,BRA,1,"Walnut, CA (USA)",15 APR 1995,1097,238.2
899,3:58.20,Róbert ŠTEFKO,28 MAY 1968,SVK,11,Zagreb (CRO),07 JUL 1998,1097,238.2
899,3:58.20,Chris WARBURTON,23 AUG 1983,GBR,11,"Crystal Palace, London (GBR)",25 JUL 2008,1097,238.2
902,3:58.21,Million WOLDE,17 MAR 1979,ETH,7,Gateshead (GBR),27 JUN 1999,1097,238.21
903,3:58.22,Sarel SPIES,25 OCT 1967,RSA,1,Port Elizabeth (RSA),02 MAR 1992,1096,238.22
903,3:58.22,Graeme WELLS,1983,CAN,,Dublin (IRL),25 JUL 2008,1096,238.22
905,3:58.23,Alan MOTTERSHEAD,16 MAY 1955,GBR,5,London (GBR),14 SEP 1979,1096,238.23
905,3:58.23,Deon FOUCHE,21 FEB 1967,RSA,4,Stellenbosch (RSA),12 NOV 1988,1096,238.23
905,3:58.23,John TRAUTMANN,29 JUN 1968,USA,2,"New York, NY (USA)",24 MAY 1992,1096,238.23
905,3:58.23,Bob LESKO,16 SEP 1969,USA,6,"Eugene, OR (USA)",05 JUN 1993,1096,238.23
905,3:58.23,Morgan BEADLESCOMB,-,USA,3h1,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA)",25 FEB 2022,1096,238.23
910,3:58.24,Dan ALDRIDGE,13 SEP 1956,USA,8,"Eugene, OR (USA)",05 JUN 1982,1096,238.24
910,3:58.24,Yomif KEJELCHA,01 AUG 1997,ETH,13,"Cobb Track and Angell Field, Stanford, CA (USA)",30 JUN 2019,1096,238.24
912,3:58.25,Benny MCINTOSH,14 SEP 1966,USA,6,"Eugene, OR (USA)",04 JUN 1994,1096,238.25
912,3:58.25,Chris GOWELL,26 SEP 1985,GBR,1,Cardiff (GBR),15 JUL 2014,1096,238.25
914,3:58.26,Jeff JIRELE,24 SEP 1953,USA,7,Stockholm (SWE),03 JUL 1978,1096,238.26
914,3:58.26,Isaac UPDIKE,21 MAR 1992,USA,1,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1096,238.26
916,3:58.27,Paul VANDERGIFT,16 MAY 1969,USA,1,Auckland (NZL),23 JAN 1993,1096,238.27
916,3:58.27,Ryan HAYDEN,27 JAN 1982,CAN,7,"Portland, OR (USA)",18 MAY 2002,1096,238.27
918,3:58.28,Adrian CALLAN,28 NOV 1962,GBR,3,Swansea (GBR),13 JUL 1986,1096,238.28
919,3:58.30,Keith FORMAN,24 FEB 1941,USA,1,"Modesto, CA (USA)",26 MAY 1962,1095,238.3
919,3:58.30,Albert THOMAS,08 FEB 1935,AUS,1,Melbourne (AUS),21 MAR 1964,1095,238.3
919,3:58.30,Mark FRICKER,23 NOV 1959,USA,1,"Corvallis, OR (USA)",08 MAY 1982,1095,238.3
919,3:58.30,Joe FABRIS,08 MAY 1957,USA,9,"Eugene, OR (USA)",05 JUN 1982,1095,238.3
923,3:58.30,Isaiah HARRIS,18 OCT 1996,USA,9,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1095,238.3
924,3:58.31,Kevin KING,11 AUG 1963,USA,5,"Villanova, PA (USA)",08 JUN 1986,1095,238.31
924,3:58.31,Tom MARSHALL,12 JUN 1989,GBR,8,Dublin (IRL),12 JUL 2017,1095,238.31
926,3:58.32,Bernard Kiptanui KIPTUM,08 OCT 1986,KEN,4,Stretford (GBR),11 AUG 2007,1095,238.32
927,3:58.34,Steve PLASENCIA,28 OCT 1956,USA,5,London (GBR),17 JUL 1982,1095,238.34
927,3:58.34,Thomas AWAD,27 MAY 1994,USA,1,"Philadelphia, PA (USA)",26 APR 2014,1095,238.34
927,3:58.34,Simon BEDARD,03 JAN 1997,FRA,2,"Loftus Sports Center, South Bend, IN (USA)",05 FEB 2022,1095,238.34
930,3:58.35,Chris MULVANEY,25 MAY 1981,GBR,1,Burnaby (CAN),14 JUN 2005,1095,238.35
930,3:58.35,Darren BROWN,27 MAR 1985,USA,,Dublin (IRL),25 JUL 2008,1095,238.35
932,3:58.37,Rudi DE WIJNGAERT,23 JUN 1959,BEL,4,Luxembourg (LUX),20 JUL 1983,1095,238.37
932,3:58.37,Mark TUCKER,15 AUG 1979,AUS,1,Auckland (NZL),23 FEB 2005,1095,238.37
934,3:58.38,Darren ABBOTT,16 AUG 1971,AUS,2,Melbourne (AUS),25 FEB 1992,1094,238.38
935,3:58.39,Matt BARNES,12 JAN 1968,GBR,3,Cork (IRL),25 JUN 1994,1094,238.39
935,3:58.39,Chris BOWDEN,12 JUN 1976,AUS,7,Melbourne (AUS),20 FEB 1997,1094,238.39
935,3:58.39,John THOMPSON,-,USA,1,"Falmouth, MA (USA)",17 AUG 2019,1094,238.39
938,3:58.40,Duncan MACDONALD,15 JAN 1949,USA,3,"Modesto, CA (USA)",27 MAY 1972,1094,238.4
938,3:58.40,Juan Maximo MARTÍNEZ,01 JAN 1947,MEX,2,"Modesto, CA (USA)",24 MAY 1975,1094,238.4
938,3:58.40,Steve HEIDENREICH,16 FEB 1953,USA,1,"Berea, OH (USA)",23 JUL 1975,1094,238.4
938,3:58.40,Mark BELGER,06 SEP 1956,USA,2,"Berkeley, CA (USA)",09 JUN 1979,1094,238.4
942,3:58.40,Andreas BARANSKI,10 MAR 1960,FRG,11,Berlin (GER),08 AUG 1980,1094,238.4
939,3:58.40,Andy CLIFFORD,27 MAR 1956,USA,10,"Eugene, OR (USA)",05 JUN 1982,1094,238.4
939,3:58.40,Gary GUSTAFSON,17 DEC 1956,USA,4,Vancouver (CAN),01 JUN 1983,1094,238.4
939,3:58.40,Alistair STEVENSON,28 MAY 1979,AUS,2,Wanganui (NZL),22 JAN 2000,1094,238.4
939,3:58.40,Sean GRAHAM,1980,USA,2,"Beaverton, OR (USA)",10 JUN 2007,1094,238.4
947,3:58.41,Vinko POKRAJČIĆ,14 JUL 1958,YUG,2,Karlovac (CRO),04 JUN 1981,1094,238.41
947,3:58.41,Craig LAMBERT,08 SEP 1957,RSA,3,Durban (RSA),14 DEC 1984,1094,238.41
947,3:58.41,Paul HAMBLYN,27 AUG 1980,NZL,2,Auckland (NZL),23 FEB 2005,1094,238.41
950,3:58.42,Ralf ECKERT,30 APR 1959,FRG,9,Cork (IRL),08 JUL 1986,1094,238.42000000000002
950,3:58.42,Sean O'NEILL,10 DEC 1963,IRL,4,Cork (IRL),07 JUL 1987,1094,238.42000000000002
952,3:58.43,Glenn RITCHIE,18 JAN 1962,AUS,6,Cork (IRL),05 JUL 1988,1094,238.43
952,3:58.43,Donnie COWART,24 OCT 1985,USA,2,"Raleigh, NC (USA)",01 AUG 2014,1094,238.43
952,3:58.43,Fouad MESSAOUDI,07 JAN 2001,MAR,3h2,"Lied Recreation Center, Ames, IA (USA)",25 FEB 2022,1094,238.43
955,3:58.44,Piotr KUREK,19 MAY 1961,POL,8,Roma (ITA),01 SEP 1983,1094,238.44
955,3:58.44,Boujamaa STOUTI,1978,MAR,8,Nice (FRA),16 JUL 1998,1094,238.44
955,3:58.44,David ADAMS,04 JAN 1989,USA,3,"Lawrence, KS (USA)",21 APR 2012,1094,238.44
955,3:58.44,Dan SHAFFER,-,USA,1,"University of Toledo T&F Outdoor Facility, Toledo, OH (USA)",15 MAY 2021,1094,238.44
955,3:58.44,Casey COMBER,-,USA,2f1,"Tatnall High School, Wilmington, DE (USA)",09 APR 2022,1094,238.44
960,3:58.45,Alex CHEROP,15 JAN 1991,UGA,10,Ostrava (CZE),17 JUN 2009,1094,238.45
961,3:58.46,Kelly BRITZ,29 MAR 1958,CAN,6,Burnaby (CAN),16 JUL 1984,1093,238.46
962,3:58.48,Matthew DE FREITAS,19 SEP 1968,GBR,5,Portsmouth (GBR),05 JUN 1993,1093,238.48
963,3:58.49,Clyde COLENSO,11 MAY 1977,RSA,2,"Eugene, OR (USA)",13 MAY 2000,1093,238.49
963,3:58.49,Daniel GACHARA,19 DEC 1972,KEN,1,Victoria (CAN),25 MAY 2001,1093,238.49
965,3:58.50,Dan WAERN,17 JAN 1933,SWE,1,Malmö (SWE),04 SEP 1957,1093,238.5
965,3:58.50,Bob MAPLESTONE,15 JUL 1946,GBR,2,"Arkadelphia, AR (USA)",25 MAY 1973,1093,238.5
965,3:58.50,Kenneth ELMER,24 APR 1948,CAN,5,"Eugene, OR (USA)",20 JUN 1973,1093,238.5
965,3:58.50,Mark FEIG,26 JAN 1953,USA,1,"Hayward Field, Eugene, OR (USA)",27 APR 1974,1093,238.5
965,3:58.50,Bruce FISCHER,25 SEP 1951,USA,3,"Wichita, KS (USA)",01 JUN 1974,1093,238.5
965,3:58.50,Ted CASTANEDA,26 DEC 1951,USA,4,"Wichita, KS (USA)",01 JUN 1974,1093,238.5
965,3:58.50,Brad SCHLAPAK,29 NOV 1966,USA,2,"Dedham, MA (USA)",09 JUN 1991,1093,238.5
965,3:58.50,Spencer BARDEN,31 MAR 1973,GBR,3,Hexham (GBR),29 MAY 1998,1093,238.5
973,3:58.50,Tomas COTTER,28 DEC 1990,IRL,8,Dublin (IRL),24 JUL 2015,1093,238.5
966,3:58.50,Brett ROBINSON,08 MAY 1991,AUS,2f1,Melbourne (AUS),16 FEB 2017,1093,238.5
975,3:58.51,Brahim KAAZOUZI,15 JUN 1990,MAR,6,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1093,238.51
975,3:58.51,Nicholas GRIGGS,18 DEC 2004,IRL,6,"Morton Stadium, Dublin (IRL)",02 JUL 2022,1093,238.51
977,3:58.52,Ryan MCKENZIE,13 OCT 1978,CAN,4,Burnaby (CAN),01 JUL 2004,1093,238.52
977,3:58.52,Chris HATLER,12 OCT 1994,USA,1,"Nashville, TN (USA)",31 MAY 2019,1093,238.52
977,3:58.52,Tracen WARNICK,-,USA,4f8,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1093,238.52
980,3:58.54,Eugene CURRAN,1964,IRL,10,Cork (IRL),08 JUL 1986,1092,238.54
981,3:58.55,Alec BASTEN,-,USA,11,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1092,238.55
982,3:58.57,Daniel HILL,26 FEB 1974,AUS,2,"Brunswick, ME (USA)",06 JUL 1996,1092,238.57
983,3:58.58,Abdelkarim BEN ZAHRA,27 OCT 1998,MAR,3,"Bislett Stadion, Oslo (NOR)",15 JUN 2017,1092,238.57999999999998
984,3:58.59,Benson KOECH,10 NOV 1974,KEN,7,Linz (AUT),20 AUG 2001,1092,238.59
985,3:58.60,Jim BAILEY,08 MAR 1929,AUS,1,"Los Angeles, CA (USA)",05 MAY 1956,1092,238.6
985,3:58.60,Jerry RICHEY,23 FEB 1949,USA,3,"Philadelphia, PA (USA)",01 JUN 1968,1092,238.6
985,3:58.60,John BOULTER,18 NOV 1940,GBR,1,Motspur Park (GBR),24 JUL 1968,1092,238.6
985,3:58.60,Clive DALE,14 NOV 1953,RSA,3,Stellenbosch (RSA),21 FEB 1977,1092,238.6
985,3:58.60,Paul WILLIAMS,07 AUG 1956,CAN,3,Vancouver (CAN),01 JUN 1983,1092,238.6
985,3:58.60,Greg LIEFELDT,15 MAR 1962,RSA,3,Port Elizabeth (RSA),10 DEC 1983,1092,238.6
985,3:58.60,Gary LEWIS,08 AUG 1963,USA,7,San José (USA),25 MAY 1985,1092,238.6
985,3:58.60,Darin SHEARER,03 APR 1974,USA,3,"Attleboro, MA (USA)",21 MAY 1999,1092,238.6
993,3:58.60,Sam ATKIN,14 MAR 1993,GBR,2,St. Louis (USA),31 MAY 2018,1092,238.6
993,3:58.60,Luc BRUCHET,23 FEB 1991,CAN,4,"Swangard Stadium, Burnaby (CAN)",10 JUL 2021,1092,238.6
995,3:58.61,Ian STUDD,1943,NZL,3,Kingston (JAM),13 AUG 1966,1092,238.61
995,3:58.61,Eero KYTÖLÄ,10 AUG 1962,FIN,6,Helsinki (FIN),02 JUL 1987,1092,238.61
995,3:58.61,Marc SEE,07 MAR 1989,AUS,1,Perth (AUS),29 JAN 2016,1092,238.61
995,3:58.61,Scott BEATTIE,04 DEC 1998,GBR,3,"Birmingham University Athletics Track, Birmingham (GBR)",09 JUL 2022,1092,238.61
999,3:58.62,Steve EMSON,05 NOV 1956,GBR,9,London (GBR),31 AUG 1979,1091,238.62
999,3:58.62,Mohamed YAGOUB BABIKER,02 SEP 1977,SUD,4,Rieti (ITA),03 SEP 1997,1091,238.62
999,3:58.62,James QUATTLEBAUM,-,USA,7,"Raleigh, NC (USA)",02 AUG 2019,1091,238.62
999,3:58.62,Patrick DEVER,05 SEP 1996,GBR,1,"Loughborough University Track, Loughborough (GBR)",24 JUL 2021,1091,238.62
1003,3:58.63,Ashley SMITH,09 SEP 1996,RSA,1,"Coetzenburg Stadium, Stellenbosch (RSA)",15 MAR 2021,1091,238.63
1004,3:58.64,Carlos VILLAREAL,10 MAY 1997,MEX,1,"Los Angeles, CA (USA)",22 AUG 2020,1091,238.64
1005,3:58.66,János ZEMEN,29 AUG 1950,HUN,8,London (GBR),30 AUG 1976,1091,238.66
1005,3:58.66,Matthew SHONE,10 JUL 1975,GBR,4,London (GBR),06 AUG 2005,1091,238.66
1005,3:58.66,Josef TESSEMA,11 APR 1989,USA,2,St. Louis (USA),30 MAY 2019,1091,238.66
1008,3:58.67,Isaac PRESSON,07 FEB 1992,USA,2f1,"Murfreesboro, TN (USA)",01 JUN 2013,1091,238.67000000000002
1008,3:58.67,Luke COMBS,-,USA,2f1,"Vanderbilt Track, Nashville, TN (USA)",05 JUN 2022,1091,238.67000000000002
1010,3:58.68,Steve FLINT,05 JAN 1961,GBR,1,Birmingham (GBR),26 MAY 1980,1091,238.68
1010,3:58.68,Ciaran MURPHY,02 SEP 1971,GBR,4,Cork (IRL),24 JUN 1995,1091,238.68
1010,3:58.68,Andrew ELLERTON,18 NOV 1983,CAN,5,Burnaby (CAN),01 JUL 2004,1091,238.68
1013,3:58.69,Thomas JOYCE,20 JUL 1993,USA,1,"Berkeley, CA (USA)",25 APR 2015,1091,238.69
1014,3:58.70,Don BOWDEN,08 AUG 1936,USA,1,"Stockton, CA (USA)",01 JUN 1957,1090,238.7
1014,3:58.70,Allan RUSHMER,27 FEB 1944,GBR,2,Duston (GBR),26 AUG 1967,1090,238.7
1014,3:58.70,Norman MORRISON,13 MAR 1949,GBR,4,Leicester (GBR),31 MAY 1971,1090,238.7
1014,3:58.70,Marc SCHILLING,08 JUL 1954,USA,6,"Baton Rouge, LA (USA)",09 JUN 1973,1090,238.7
1014,3:58.70,Passmore FURUSA,28 DEC 1970,ZIM,2,"Walnut, CA (USA)",15 APR 1995,1090,238.7
1019,3:58.70,Reuben CHESANG,22 DEC 1962,KEN,1,Köln (GER),18 AUG 1995,1090,238.7
1019,3:58.70,Richard PETERS,18 FEB 1990,GBR,1f1,Oxford (GBR),20 JUL 2013,1090,238.7
1016,3:58.70,Jack RAYNER,19 DEC 1995,AUS,3f1,Melbourne (AUS),16 FEB 2017,1090,238.7
1020,3:58.70,Blake HANEY,29 MAR 1996,USA,10f2,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1090,238.7
1023,3:58.71,Peter SPIR,06 NOV 1955,CAN,3,"Eugene, OR (USA)",14 JUN 1977,1090,238.71
1023,3:58.71,Des ENGLISH,06 JUN 1967,IRL,4,Cork (IRL),25 APR 1994,1090,238.71
1023,3:58.71,Abbabiya SIMBASSA,30 JUN 1993,USA,10,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1090,238.71
1023,3:58.71,David MULLARKEY,07 MAR 2000,GBR,4,"Birmingham University Athletics Track, Birmingham (GBR)",09 JUL 2022,1090,238.71
1027,3:58.72,Julius Kiptoo BOR,23 JAN 1986,USA,2,"Austin, TX (USA)",05 APR 2008,1090,238.72
1027,3:58.72,Athanas KIOKO,1995,KEN,2,"Columbia International University, Columbia, SC (USA)",29 AUG 2020,1090,238.72
1029,3:58.73,Eric FINAN,09 JUN 1987,USA,1f1,"Concord, MA (USA)",05 JUN 2014,1090,238.73
1029,3:58.73,Brian CRIMMINS,-,USA,1,"Henderson HS, West Chester, PA (USA)",12 AUG 2021,1090,238.73
1029,3:58.73,Hobbs KESSLER,15 MAR 2003,USA,1f1,"Tooting Bec Athletics Track, London (GBR)",24 AUG 2022,1090,238.73
1032,3:58.74,Randy WILSON,07 SEP 1955,USA,3,"Eugene, OR (USA)",11 MAY 1984,1090,238.74
1032,3:58.74,Jim SVENØY,22 APR 1972,NOR,11,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,1090,238.74
1032,3:58.74,Faisa Dame TASAMA,12 OCT 1987,ETH,5,Brasschaat (BEL),21 JUL 2007,1090,238.74
1032,3:58.74,Elmar ENGHOLM,02 OCT 1992,SWE,9,Dublin (IRL),19 JUL 2018,1090,238.74
1036,3:58.76,Earl JONES,17 JUL 1964,USA,4,"Westwood, CA (USA)",17 MAY 1986,1090,238.76
1036,3:58.76,Andrea CORI,23 APR 1966,ITA,4,Rieti (ITA),05 SEP 1993,1090,238.76
1036,3:58.76,Jonathan MELLOR,27 DEC 1986,GBR,2f1,Oxford (GBR),20 JUL 2013,1090,238.76
1036,3:58.76,Jack ROWE,30 JAN 1996,GBR,3f11,"Wimbledon Park Athletics Track, London (GBR)",28 JUL 2021,1090,238.76
1040,3:58.77,Roger HACKNEY,02 SEP 1957,GBR,4,Swansea (GBR),13 JUL 1986,1090,238.77
1041,3:58.78,Andrew BUMBALOUGH,14 MAR 1987,USA,1,"Murfreesboro, TN (USA)",06 JUN 2009,1089,238.78
1042,3:58.79,Victor PALUMBO,1993,USA,1,"Columbia International University, Columbia, SC (USA)",12 DEC 2020,1089,238.79
1043,3:58.80,Roger BANNISTER,23 MAR 1929,GBR,1,Vancouver (CAN),07 AUG 1954,1089,238.8
1043,3:58.80,Richard ROMO,23 JUN 1943,USA,1,"Los Angeles, CA (USA)",10 AUG 1966,1089,238.8
1043,3:58.80,Richard TAYLER,12 AUG 1948,NZL,1,Dunedin (NZL),23 JAN 1971,1089,238.8
1043,3:58.80,Lee LABADIE,22 JAN 1950,USA,1,"Carbondale, IL (USA)",11 MAY 1971,1089,238.8
1043,3:58.80,Henryk SZORDYKOWSKI,03 JUN 1944,POL,5,Stockholm (SWE),05 JUL 1972,1089,238.8
1043,3:58.80,Barry BROWN,26 JUL 1944,USA,2,"Gainesville, FL (USA)",13 MAY 1973,1089,238.8
1043,3:58.80,Jim JOHNSON,04 JAN 1950,USA,6,"Eugene, OR (USA)",20 JUN 1973,1089,238.8
1043,3:58.80,Scott DAGGATT,14 OCT 1952,USA,3,"Modesto, CA (USA)",24 MAY 1975,1089,238.8
1043,3:58.80,Gary BARGER,29 DEC 1953,USA,1,"Eugene, OR (USA)",29 MAY 1975,1089,238.8
1043,3:58.80,Tony SETTLE,09 DEC 1953,GBR,1,Belfast (GBR),29 MAY 1976,1089,238.8
1043,3:58.80,Lawrie SPENCE,16 JUL 1953,GBR,4,Gateshead (GBR),12 SEP 1977,1089,238.8
1043,3:58.80,Hans VAN DER VEEN,07 JAN 1966,RSA,4,Port Elizabeth (RSA),14 DEC 1985,1089,238.8
1043,3:58.80,Roland PAUWELS,16 FEB 1966,BEL,2,Ninove (BEL),28 JUL 1987,1089,238.8
1043,3:58.80,Tipper O'BRIEN,14 DEC 1983,USA,3,"Beaverton, OR (USA)",10 JUN 2007,1089,238.8
1057,3:58.81,Mark COOGAN,01 MAY 1966,USA,1,"Dedham, MA (USA)",10 JUN 1989,1089,238.81
1057,3:58.81,Alberto GARCÍA,22 FEB 1971,ESP,6,Gateshead (GBR),19 JUL 1998,1089,238.81
1059,3:58.82,Frank CONWAY,1967,IRL,7,Cork (IRL),05 JUL 1988,1089,238.82
1060,3:58.83,Mike MANKE,15 MAR 1952,USA,4,Berlin (GER),18 AUG 1978,1089,238.82999999999998
1060,3:58.83,Brendan MATTHIAS,12 AUG 1969,CAN,2,"Eugene, OR (USA)",01 JUN 1990,1089,238.82999999999998
1060,3:58.83,John NUTTALL,11 JAN 1967,GBR,1,Croydon (GBR),14 AUG 1991,1089,238.82999999999998
1060,3:58.83,Dan MAAS,05 JUL 1969,USA,7,"Eugene, OR (USA)",05 JUN 1993,1089,238.82999999999998
1060,3:58.83,Jonas RAESS,08 MAR 1994,SUI,1,"Stadion Allmend, Luzern (SUI)",03 JUL 2020,1089,238.82999999999998
1060,3:58.83,Connor BURNS,-,USA,5,"Saint Louis University High School, Saint Louis, MO (USA)",02 JUN 2022,1089,238.82999999999998
1066,3:58.84,John BOWDEN,19 JUN 1956,NZL,4,Auckland (NZL),30 JAN 1982,1089,238.84
1066,3:58.84,Cliffie MILLER,01 FEB 1964,RSA,2,Port Elizabeth (RSA),18 DEC 1991,1089,238.84
1066,3:58.84,Jay CANTIN,23 APR 1977,CAN,6,Burnaby (CAN),01 JUL 2004,1089,238.84
1066,3:58.84,Yusuf Kibet BIWOTT,12 NOV 1986,KEN,11,Ostrava (CZE),17 JUN 2009,1089,238.84
1066,3:58.84,Wes PORTER,-,USA,1,"UVA Lanningan Field, Charlottesville, VA (USA)",04 MAY 2022,1089,238.84
1071,3:58.85,Chris SLY,24 JAN 1958,GBR,12,London (GBR),08 AUG 1980,1089,238.85
1071,3:58.85,Niels Kim HJORT,29 JUN 1959,DEN,1,Cwmbran (GBR),09 JUL 1983,1089,238.85
1071,3:58.85,Tim GORMAN,05 JUN 1992,USA,6f2,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1089,238.85
1074,3:58.87,Thomas BUCKNER,16 APR 1963,GBR,8,Portsmouth (GBR),05 JUN 1993,1088,238.87
1075,3:58.88,Lorenzo HIDALGO,07 JAN 1965,ESP,2,Sevilla (ESP),30 MAY 1990,1088,238.88
1075,3:58.88,Nick HARRIS,31 MAY 1994,USA,3,St. Louis (USA),31 MAY 2018,1088,238.88
1077,3:58.89,Bekim BAHTIRI,23 SEP 1972,SLO,2,Linz (AUT),25 AUG 1993,1088,238.89
1077,3:58.89,Pavel DOLGUSHEV,11 JUL 1968,RUS,5,Cork (IRL),25 JUN 1994,1088,238.89
1077,3:58.89,Kiyonari SHIBATA,27 MAR 1973,JPN,4,Osaka (JPN),11 MAY 1996,1088,238.89
1077,3:58.89,Brad WOODS,25 APR 1986,AUS,2,Dublin (IRL),08 JUL 2007,1088,238.89
1077,3:58.89,Tiarnan CRORKEN,13 JUN 1999,GBR,13,"International Stadium, Gateshead (GBR)",13 JUL 2021,1088,238.89
1082,3:58.90,Roger MOËNS,26 APR 1930,BEL,2,Malmö (SWE),04 SEP 1957,1088,238.9
1082,3:58.90,Brian HEWSON,04 APR 1933,GBR,2,London (GBR),03 SEP 1958,1088,238.9
1082,3:58.90,Bob SCHUL,28 SEP 1937,USA,1,"Los Angeles, CA (USA)",12 AUG 1964,1088,238.9
1082,3:58.90,Ron MARTIN,22 SEP 1950,GBR,2,"Williamsburg, VA (USA)",11 MAY 1974,1088,238.9
1082,3:58.90,Moncho MARINOV,15 JAN 1953,BUL,1,København (DEN),09 JUL 1974,1088,238.9
1082,3:58.90,Euan ROBERTSON,14 JUN 1948,NZL,9,Berlin (GER),26 AUG 1977,1088,238.9
1088,3:58.90,Philip GREYLING,11 APR 1967,RSA,5,Port Elizabeth (RSA),09 MAR 1988,1088,238.9
1083,3:58.90,Simon MUGGLESTONE,24 JAN 1968,GBR,1,Oxford (GBR),19 MAY 1990,1088,238.9
1089,3:58.90,Zak SEDDON,28 JUN 1994,GBR,15,"Olympic Stadium, London (GBR)",21 JUL 2019,1088,238.9
1091,3:58.91,László TÓTH,31 AUG 1955,HUN,4,Koblenz (GER),28 AUG 1985,1088,238.91
1091,3:58.91,Clay SCHWABE,03 JUL 1979,USA,1,"Brunswick, ME (USA)",07 JUL 2001,1088,238.91
1093,3:58.92,Valeriy TOPOROV,13 MAY 1956,URS,6,Berlin (GER),17 AUG 1979,1088,238.92000000000002
1093,3:58.92,Rantso MOKOPANE,08 AUG 1994,RSA,1,Paarl (RSA),22 MAR 2018,1088,238.92000000000002
1093,3:58.92,Yasin SADO,-,USA,2,"UVA Lanningan Field, Charlottesville, VA (USA)",04 MAY 2022,1088,238.92000000000002
1096,3:58.93,Roger JONES,22 NOV 1958,USA,6,"Eugene, OR (USA)",04 JUN 1983,1088,238.93
1096,3:58.93,Eoin EVERARD,23 APR 1986,IRL,9,Dublin (IRL),17 JUL 2013,1088,238.93
1098,3:58.94,John HOWORTH,21 APR 2000,GBR,5,"Birmingham University Athletics Track, Birmingham (GBR)",09 JUL 2022,1087,238.94
1099,3:58.95,Ricky ROBINSON,16 MAY 1959,RSA,2,Stellenbosch (RSA),25 MAR 1983,1087,238.95
1099,3:58.95,Mark SCRUTTON,14 APR 1960,GBR,6,Gateshead (GBR),10 JUN 1984,1087,238.95
1099,3:58.95,Berhanu ALEMU,16 JUL 1982,ETH,12,Oslo (NOR),28 JUN 2002,1087,238.95
1099,3:58.95,John SIMONS,12 NOV 1990,USA,5,"Concord, MA (USA)",07 JUN 2018,1087,238.95
1103,3:58.96,Anthony HARRIS,01 JUN 1941,GBR,5,London (GBR),03 JUL 1965,1087,238.96
1103,3:58.96,Ken LUCKS,07 JAN 1962,CAN,7,Burnaby (CAN),16 JUL 1984,1087,238.96
1103,3:58.96,Michał BARTOSZAK,21 JUN 1970,POL,1,Nuoro (ITA),10 SEP 1993,1087,238.96
